key,smiles,HOMO_exp,LUMO_exp,HOMO_calc,LUMO_calc
c7,CN(C1=O)C(C2C=C(OC)C3=C(C2=C1C=C4)C4=C5C6=C3C=CC7=C6C(C(N(C)C7=O)=O)=CC5C8=CC9=C(C%10=CC=C(C)S%10)C%11=C(C=C(C(C=C%12C(N(C)C%13=O)=O)C%14=C%15C(C%16=C%17C=C%15)=C(C(OC)=CC%16C(N(C)C%17=O)=O)C%18=C%14C%12=C%13C=C%18)S%11)C(C%19=CC=C(C)S%19)=C9S8)=O,-5.48,-3.84,-5.50692721,-3.05754354
c9,O=C(C1=C2C3=C(C=CC24)C5=C(C6=C7C=C5)C(CC=C6C(N(C(C)C)C7=O)=O)=C3C(C8=CC=CC9=C8C(C(C%10=CC(C(N(C(C)C)C%11=O)=O)C%12=C%11C=CC%13=C(CC=C%14C(N(C(C)C)C%15=O)=O)C(C%14=C%15C=C%16)=C%16C%10=C%13%12)=CC=C%17)=C%17C%189C%19=CC=CC=C%19C%20=CC=CC=C%20%18)=C1)N(C(C)C)C4=O,-5.71,-3.71,-5.654384543,-3.066683423
c10,O=C(C1=C2C3=C(C(C(C=C4C(N(C(C)C)C5=O)=O)C6=C7C(C8=C9C=C7)=C(C=CC8C(N(C(C)C)C9=O)=O)C%10=C6C4=C5C=C%10)=CC2%11)C%12=C(C%13=C%14C=C%12)C(CC=C%13C(N(C(C)C)C%14=O)=O)=C3C=C1)N(C(C)C)C%11=O,-5.94,-3.84,-5.71641,-3.307658733
c14,O=C(C1=C2C(C(C3=C4C(C5C6=C7C=CC(C(N(C(C)C)C8=O)=O)C6=C8C=C5)=C7C9=C3C%10=C%11C9C=CC%12=C%11C(C(N(C(C)C)C%12=O)=O)C=C%10)C=C1)=C4C=CC2%13)N(C(C)C)C%13=O,-5.81,-3.61,-5.770852,-3.071315827
d1,O=C1C(C2=C(C3=CC=C(S3)C4=CC=C(C(F)(F)F)C=C4)N1C)=C(C5=CC=C(S5)C6=CC=C(C(F)(F)F)C=C6)N(C)C2=O,-5.26,-3.52,-5.280874,-3.223848984
d2,O=C1C(C2=C(C3=CC=C(S3)C=O)N1C)=C(C4=CC=C(S4)C=O)N(C)C2=O,-5.9,-4.09,-5.716077221,-3.64075907
d10,O=C1N(C)C(C(C1=C2C3=CC=CC4=C3C=CC=C4)=C(C5=C(C=CC=C6)C6=CC=C5)C7=C2C8=C9C(C=CC=C97)=C(C#N)C=C8)=O,-6.12,-3.43,-6.250098017,-3.184857
PDI 2,CC(S1)=CC=C1C2=C3C(C=C(C4=CC5=C6C7=C4C8=CC=C(C(N(C)C9=O)=O)C%10=C9C=C(C%11=CC%12=C(C%13=CC=C(C)S%13)C%14=C(C=CS%14)C(C%15=CC=C(C)S%15)=C%12S%11)C(C7=CC=C6C(N(C)C5=O)=O)=C8%10)S3)=C(C%16=CC=C(C)S%16)C%17=C2C=CS%17,-5.57,-3.95,-5.331291004,-3.614001928
PDI 4,O=C(C(C(C1=CC=CC=C1)=C2)=C3C4=C2C5=CC(C6=CC=CC=C6)=C(C(N(C)C7=O)=O)C8=C7C(C9=CC=CC=C9)=CC(C4=CC(C%10=CC=CC=C%10)=C3%11)=C58)N(C)C%11=O,-6.02,-4.01,-6.075809162,-3.620393
PDI 6c,O=C(C(C=C1)=C2C3=C1C4=CC=C(C(N(C)C5=O)=O)C6=C5C=CC(C3=C(C7=CC=C(C8=CC9=C%10C%11=C8C%12=CC=C(C(N(C)C%13=O)=O)C%14=C%13C=CC(C%11=CC=C%10C(N(C)C9=O)=O)=C%12%14)S7)C=C2%15)=C46)N(C)C%15=O,-5.65,-3.84,-6.044587039,-3.867695142
PDI 13,O=C(C(C=C1)=C2C3=C1C4=CC=C(C(N(C)C5=O)=O)C6=C5C=C(C7=C8C9=CC%10=C%11C%12=C9C%13=C7C=C(C(N(C)C%14=O)=O)C%15=C%14C=CC(C%12=CC=C%11C(N(C)C%10=O)=O)=C%13%15)C(C3=C8C=C2%16)=C46)N(C)C%16=O,-6.04,-3.77,-6.26083,-3.919824
M1,FC1=C(F)C(F)=C(F)C2=CC3=C(C#C[Si](C)(C)C)C4=CC5=C(F)C(F)=C(F)C(F)=C5C=C4C(C#C[Si](C)(C)C)=C3C=C21,-5.71,-3.71,-5.355209325,-3.558623325
M2,CN(C1C/2C=C3C(/C(C(C=CC=C4)C4N3C)=C(C#N)\C#N)=C1)C5=CC=CC=C5C2=C(C#N)\C#N,-5.9,-4.1,-6.007247956,-3.353781778
