key,name,donor,smiles,HOMO_calc,LUMO_calc,PCE_exp,Source,HOMO_calib,LUMO_calib,PCE_calc,PCE_calib,molW,PCE_calib_plus,PCE_calib_plus_std
1,1,P3HT,Cn1c(=O)c2ccc3c4ccc5c(=O)n(C)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,-6.206,-3.7565,0.25,,-5.7691266,-3.818782558,2.746718642,5.858437903,418.408,1.376495666,1.331254003
2,2,P3HT,Cn1c(=O)c2ccc3c4ccc5c(=O)n(-n6c(=O)c7ccc8c9ccc%10c(=O)n(C)c(=O)c%11ccc(c%12ccc(c6=O)c7c8%12)c9c%10%11)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,-6.231,-3.8095,3.2,,-5.918082261,-4.04468224,2.737661257,4.883911599,806.746,2.130565531,1.275193455
3,3,P3HT,Cn1c(=O)c2ccc3c4ccc5c(=O)n(C)c(=O)c6cc(-c7ccc(-c8cc9c(=O)n(C)c(=O)c%10ccc%11c%12ccc%13c(=O)n(C)c(=O)c%14ccc(c8c%11c%109)c%12c%13%14)s7)c(c7ccc(c1=O)c2c37)c4c56,-6.0405,-3.8651,0.41,,-5.750095665,-3.868917984,3.900137859,6.141742466,916.927,2.298419121,1.280298222
4,4,P3HT,COc1cc2c(=O)n(C)c(=O)c3ccc4c5c(-c6ccc(-c7cc8c(=O)n(C)c(=O)c9cc(OC)c%10c%11c(OC)cc%12c(=O)n(C)c(=O)c%13ccc(c7c%10c89)c%11c%13%12)s6)cc6c(=O)n(C)c(=O)c7cc(OC)c(c1c4c32)c5c67,-5.7617,-3.6931,0.76,,-5.654797068,-3.843034997,5.592203043,7.021112704,1037.031,2.560097325,1.292684668
5,5,P3HT,Cn1c(=O)c2ccc3c4ccc5c(=O)n(C)c(=O)c6cc(-c7ccc8c(c7)C7(c9ccccc9-c9ccccc97)c7cc(-c9cc%10c(=O)n(C)c(=O)c%11ccc%12c%13ccc%14c(=O)n(C)c(=O)c%15ccc(c9c%12c%11%10)c%13c%14%15)ccc7-8)c(c7ccc(c1=O)c2c37)c4c56,-5.9508,-3.7279,2.35,,-5.733851892,-3.721853472,4.204648089,5.93760976,1149.187,2.793039005,1.296140631
6,6,P3HT,Cc1ccc(-c2ccc(-c3ccc(-c4cc5c(=O)n(C)c(=O)c6c(-c7ccc(-c8ccc(-c9ccc(C)s9)s8)s7)cc7c(=O)n(C)c(=O)c4c7c56)s3)s2)s1,-5.1696,-3.4604,1.5,,-5.283832918,-4.043903005,0,0,815.082,1.825604404,1.320179558
7,7,P3HT,Cn1c(=O)c2ccc3c4nc5c(-c6cccs6)c6nc7c8ccc9c(=O)n(C)c(=O)c%10ccc(c7nc6c(-c6cccs6)c5nc4c4ccc(c1=O)c2c34)c8c9%10,-5.5428,-3.6207,1.8,,-5.366929678,-3.715240594,7.516368159,9.990580842,760.816,3.106925997,1.444458351
8,8,P3HT,Cn1c(=O)c2c(-c3ccccc3)c3c4cccc5c(C#N)ccc(c3c(-c3ccccc3)c2c1=O)c54,-6.6395,-3.2109,2.61,,-6.418163327,-3.458733184,0.348528492,1.096936707,462.508,1.813870977,1.306952361
9,9,P3HT,Cc1ccccc1-c1c2c(=O)n(C)c(=O)c2c(-c2ccccc2C)c2c3ccc(C#N)c4cccc(c12)c43,-6.6123,-3.2109,2.9,,-6.348606483,-3.444220527,0.381334495,1.286165078,490.562,1.867998542,1.2995356
10,10,P3HT,COc1ccc(-c2c3c(=O)n(C)c(=O)c3c(-c3ccc(OC)cc3)c3c4ccc(C#N)c5cccc(c23)c54)cc1,-6.0758,-3.1021,2.12,,-5.928802373,-3.38322578,1.357355429,3.175592485,522.56,1.974333534,1.286893014
