Bit,All_count,Top_count,All Pop %,Top Pop %,radius_mean,radius_std,Z
0,59,0,0.11510847510535352,0.0,3.0677966101694913,1.1769596968987945,
1,63,0,0.12291243951927579,0.0,4.0,0.0,
2,214,1,0.4175120961448416,0.7633587786259542,3.205607476635514,0.6226010822409894,0.6146738014166101
3,254,0,0.4955517402840643,0.0,3.968503937007874,0.1746541182111719,
4,144,0,0.2809427189012018,0.0,3.8125,0.3903123748998999,
5,88,0,0.17168721710629,0.0,3.977272727272727,0.14903269373413636,
6,136,0,0.26533479007335725,0.0,3.786764705882353,0.4271672808317004,
7,1546,0,3.0162322459809583,0.0,3.928201811125485,0.2581534600753094,
8,241,1,0.47018885593881693,0.7633587786259542,3.211618257261411,0.4084555917784136,0.49112694634055354
9,248,0,0.4838457936631809,0.0,3.911290322580645,0.28432423490006764,
10,45,0,0.08779459965662556,0.0,3.533333333333333,0.49888765156985887,
11,3148,11,6.141719993756828,8.396946564885496,2.1226175349428207,0.4205149138013711,1.0764552594048469
12,267,7,0.5209146246293117,5.343511450381679,3.1722846441947565,0.38741874280107125,7.677483560671398
13,70,0,0.13656937724363977,0.0,3.6,0.48989794855663565,
14,191,0,0.3726393007647885,0.0,2.9633507853403143,0.5999278119636112,
15,2008,1,3.9175901357889806,0.7633587786259542,2.7320717131474104,0.4637531916285544,-1.8631559544280327
16,168,0,0.32776650538473545,0.0,2.4702380952380953,0.8012311600793407,
17,685,0,1.3364289058841892,0.0,2.818978102189781,0.5557309708206346,
18,64,0,0.12486343062275636,0.0,3.734375,0.4416654382844553,
19,58,0,0.11315748400187295,0.0,3.8275862068965516,0.37773969483114905,
20,148,0,0.2887466833151241,0.0,3.304054054054054,0.46000563721257637,
21,55,0,0.10730451069143125,0.0,3.2545454545454544,0.5123273746765589,
22,192,0,0.3745902918682691,0.0,3.234375,0.4236075534914362,
23,59,0,0.11510847510535352,0.0,3.8813559322033897,0.32336922081930364,
24,3385,3,6.604104885281723,2.2900763358778624,2.1926144756277695,0.4308678206191652,-1.9906698814786323
25,1289,2,2.514827532386452,1.5267175572519085,2.0899922420480994,0.3648234106576274,-0.7232176300091281
26,328,0,0.6399250819416263,0.0,3.6859756097560976,0.46412613864751007,
27,1598,1,3.1176837833619477,0.7633587786259542,3.0801001251564455,0.27144814441503795,-1.552441460793825
28,57,0,0.11120649289839238,0.0,3.6140350877192984,0.4868223482635652,
29,2713,1,5.293038863742781,0.7633587786259542,2.7401400663472173,0.9310546649258977,-2.3185215905958794
30,182,0,0.3550803808334634,0.0,3.340659340659341,0.47393095940324886,
31,115,1,0.22436397690026533,0.7633587786259542,3.8,0.5141476695337212,1.3055180051963355
32,256,0,0.49945372249102543,0.0,3.05078125,0.21955071088119368,
33,165,0,0.32191353207429374,0.0,3.4606060606060605,0.49844570169580815,
34,755,7,1.472998283127829,5.343511450381679,2.111258278145695,0.4407313377788633,3.681941650029349
35,459,1,0.8955049164975808,0.7633587786259542,3.3050108932461875,0.5388975976902939,-0.1607536776247514
36,373,0,0.727719681598252,0.0,2.7372654155495977,0.8448741688499979,
37,151,0,0.2945996566255658,0.0,3.3311258278145695,0.4706182252831754,
38,42,0,0.08194162634618386,0.0,3.7142857142857144,0.45175395145262554,
39,88,0,0.17168721710629,0.0,3.1136363636363638,0.3513551098577342,
40,448,0,0.8740440143592946,0.0,3.3236607142857144,0.4678722649546301,
41,419,0,0.8174652723583581,0.0,3.047732696897375,0.32788228453343615,
42,188,2,0.3667863274543468,1.5267175572519085,2.265957446808511,0.5089733495279015,2.198926480112436
43,710,1,1.3852036834712034,0.7633587786259542,2.2084507042253523,0.550479043331707,-0.6097352828890791
44,1164,11,2.270953644451381,8.396946564885496,2.0240549828178693,0.2140399737874951,4.712459509699413
45,27,0,0.05267675979397534,0.0,4.0,0.0,
46,68,0,0.13266739503667863,0.0,3.764705882352941,0.42418250299576354,
47,83,0,0.16193226158888716,0.0,3.5301204819277108,0.49909193198091517,
48,252,0,0.49164975807710315,0.0,3.6587301587301586,0.47413577876964597,
49,2225,2,4.340955205244264,1.5267175572519085,2.061123595505618,0.30404552513293875,-1.5826766779838168
50,292,0,0.5696894022163259,0.0,3.143835616438356,0.6355854385449476,
51,90,0,0.17558919931325112,0.0,3.977777777777778,0.14740554623801777,
52,53,0,0.10340252848447011,0.0,3.9056603773584904,0.29230062990244654,
53,536,12,1.0457312314655844,9.16030534351145,3.03544776119403,0.18490867318857948,9.141669814152888
54,612,0,1.1940065553301078,0.0,1.591503267973856,0.9949840023950134,
55,550,2,1.0730451069143125,1.5267175572519085,2.101818181818182,0.4096521402764275,0.5046185410031083
